epoch,loss,accuracy
0,5.771977,0.003906
1,5.130472,0.031250
2,4.551857,0.078125
3,4.104181,0.121094
4,3.791126,0.164062
5,3.582764,0.195312
6,3.449330,0.191406
7,3.335021,0.199219
8,3.210777,0.203125
9,3.054986,0.265625
10,2.901311,0.320312
11,2.785343,0.355469
12,2.705365,0.382812
13,2.632398,0.398438
14,2.574397,0.394531
15,2.541579,0.394531
16,2.494418,0.398438
17,2.462193,0.410156
18,2.426346,0.421875
19,2.401261,0.421875
20,2.369082,0.406250
21,2.343872,0.421875
22,2.314798,0.429688
23,2.293252,0.425781
24,2.274163,0.421875
25,2.262083,0.417969
26,2.243271,0.425781
27,2.211689,0.441406
28,2.196077,0.421875
29,2.185923,0.433594
30,2.166607,0.417969
31,2.157212,0.421875
32,2.135028,0.421875
33,2.125178,0.433594
34,2.108650,0.406250
35,2.099610,0.390625
36,2.081862,0.406250
37,2.071173,0.394531
38,2.064214,0.406250
39,2.042962,0.398438
40,2.035485,0.398438
41,2.025691,0.386719
42,2.019035,0.382812
43,1.999812,0.402344
44,1.995823,0.386719
45,1.979237,0.394531
46,1.972797,0.394531
47,1.962255,0.394531
48,1.962797,0.378906
49,1.932897,0.382812
50,1.952681,0.390625
51,1.937585,0.371094
52,1.900197,0.367188
53,1.893029,0.386719
54,1.890463,0.371094
55,1.876391,0.390625
56,1.859692,0.382812
57,1.850691,0.390625
58,1.843358,0.386719
59,1.845680,0.382812
60,1.837029,0.394531
61,1.811955,0.390625
62,1.804182,0.398438
63,1.806217,0.382812
64,1.773700,0.402344
65,1.767532,0.410156
66,1.758271,0.406250
67,1.743123,0.414062
68,1.731815,0.437500
69,1.729560,0.457031
70,1.728585,0.460938
71,1.692308,0.496094
72,1.691706,0.480469
73,1.680527,0.476562
74,1.671743,0.484375
75,1.656573,0.496094
76,1.637281,0.492188
77,1.620116,0.484375
78,1.615186,0.500000
79,1.647379,0.503906
80,1.606485,0.511719
81,1.584508,0.519531
82,1.560929,0.519531
83,1.555928,0.500000
84,1.544046,0.527344
85,1.560011,0.539062
86,1.521818,0.542969
87,1.514230,0.546875
88,1.504466,0.558594
89,1.488701,0.574219
90,1.493756,0.566406
91,1.472090,0.582031
92,1.467241,0.601562
93,1.436863,0.601562
94,1.429752,0.605469
95,1.433174,0.597656
96,1.403030,0.617188
97,1.399045,0.617188
98,1.384234,0.632812
99,1.382246,0.625000
100,1.363980,0.636719
101,1.357948,0.636719
102,1.340440,0.636719
103,1.326086,0.644531
104,1.320673,0.636719
105,1.307352,0.644531
106,1.292099,0.644531
107,1.296981,0.656250
108,1.269388,0.660156
109,1.267428,0.671875
110,1.248071,0.703125
